"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Opened"
4955,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Page forward failure on URL parameter with no value (String index out of range)","2004-11-16 19:05:38","2001-11-19 15:27:06"
5411,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","JSP session does not work with IE/IIS5/Tomcat 3.3","2005-03-20 17:06:12","2001-12-13 08:03:42"
5983,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Cannot deal with common buggy POST from applets","2004-11-16 19:05:38","2002-01-23 16:40:36"
6448,"Tomcat 3","Config","dev","RESOLVED","LATER","NullPointerException when docBase is missing","2004-11-16 19:05:38","2002-02-14 05:35:51"
8154,"Tomcat 3","Config","dev","RESOLVED","WONTFIX","logrotate script in RPM rotates non-existing file","2004-11-16 19:05:39","2002-04-16 09:34:22"
1597,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","org.apache.jasper.runtime.BodyContentImpl buffer overflow","2005-03-20 17:06:12","2001-05-02 05:06:06"
3903,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","interceptors.xml","2004-11-16 19:05:38","2001-10-01 10:08:14"
28632,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","connection_util.jar missing","2005-03-20 17:06:12","2004-04-27 16:33:31"
3734,"Tomcat 3","Unknown","dev","CLOSED","REMIND","RPM issues","2004-11-16 19:05:38","2001-09-19 16:54:41"
4598,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","Default installation fails to startup because address is already in use","2004-11-16 19:05:38","2001-11-02 10:08:52"
6215,"Tomcat 3","Servlet","dev","RESOLVED","DUPLICATE","ServletRequest#getRemoteAddr() returns 127.0.0.1 after 2 requests.","2005-03-20 17:06:12","2002-02-04 11:20:05"
2789,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Tomcat doesn't postpend the trailing backslash in the ""Go Up"" link in its directory indexes","2004-11-16 19:05:38","2001-07-25 10:46:28"
3486,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","Session problem.","2005-03-20 17:06:12","2001-09-07 03:37:01"
4975,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Connection closed before response is sent","2005-03-20 17:06:12","2001-11-20 06:42:33"
5463,"Tomcat 3","Config","dev","RESOLVED","DUPLICATE","JKMount directory  incorrectly  generated in mod_jk.conf for name_number directories under Tomcat default webapps.","2004-11-16 19:05:38","2001-12-17 13:27:45"
9772,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","RequestDispatcher.forward(resource) does not perform necessary checks","2004-11-16 19:05:39","2002-06-11 13:22:28"
31474,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","URL query string attribute duplication when using forward method","2004-11-16 19:05:46","2004-09-29 20:52:48"
5314,"Tomcat 3","Config","dev","RESOLVED","FIXED","NPE when reading web.xml without DOCTYPE declaration","2004-11-16 19:05:38","2001-12-07 05:42:03"
5769,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","NT Service display name should not be used as service name","2005-03-20 17:06:12","2002-01-09 12:11:05"
6817,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","mod_jk uses RTLD_GLOBAL, which may not exist","2004-11-16 19:05:38","2002-03-02 18:04:38"
35038,"Tomcat 3","Unknown","dev","RESOLVED","WONTFIX","After login tomcat throws Broken Pipe.","2005-05-27 19:04:32","2005-05-24 11:35:19"
4365,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","build-solaris for Apache connector does not compile with -DEAPI","2004-11-16 19:05:38","2001-10-23 06:14:38"
11149,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","Tomcat shutdown requires resolvable hostname","2004-11-16 19:05:39","2002-07-24 22:32:02"
2192,"Tomcat 3","Config","dev","RESOLVED","FIXED","The distribution batch file does not always work.","2005-03-20 17:06:12","2001-06-14 20:26:00"
3988,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","NullPointerException in TC 3.3-b1","2004-11-16 19:05:38","2001-10-05 05:03:41"
3641,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Bad value in query string parameter while forwarding request","2005-03-20 17:06:12","2001-09-16 03:39:37"
5353,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Characters with accents not displayed correctly in Tomcat 3.3","2004-11-16 19:05:38","2001-12-11 06:24:57"
6355,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","getPathInfo() returns null in forwarded servlet","2004-11-16 19:05:38","2002-02-11 05:18:17"
2646,"Tomcat 3","Encoding","dev","RESOLVED","FIXED","International characters appear as ??????","2004-11-16 19:05:38","2001-07-16 17:40:52"
3847,"Tomcat 3","Unknown","dev","CLOSED","WORKSFORME","Apache authorization headers not passed through to servlet","2005-03-20 17:06:12","2001-09-26 17:38:01"
3577,"Tomcat 3","Encoding","dev","RESOLVED","FIXED","NPE when DecodeInterceptor gets confused","2004-11-16 19:05:38","2001-09-12 14:43:24"
